IDGIOCATORE,NOME,COGNOME,VALORE,GOLFATTI,IDSQUADRA,IDNAZIONE
1,Mario,Rossi,5000000.00,10,1,1
2,Luigi,Verdi,3000000.00,8,1,1
3,Lukas,Müller,10.50,5,1,3
4,Max,Schneider,8.75,2,2,3
5,Jonas,Fischer,12.00,8,3,3
6,Daan,van der Berg,9.25,4,4,4
7,Noah,Jansen,11.80,6,5,4
8,Sam,Hendriks,13.50,9,6,4
9,Ricardo,Silva,15.25,7,1,5
10,André,Santos,10.60,3,2,5
11,Pedro,Gomes,11.90,5,3,5
12,Jack,Wilson,14.80,10,4,6
13,Oliver,Thompson,9.75,4,5,6
14,Harry,Clark,12.30,7,6,6

IDGIOCATORE,NOME,COGNOME,VALORE,GOLFATTI,IDSQUADRA,IDNAZIONE
1,Mario,Rossi,5000000.00,10,1,1
2,Luigi,Verdi,3000000.00,8,1,1
3,Lukas,Müller,10.50,5,1,3
4,Max,Schneider,8.75,2,2,3
5,Jonas,Fischer,12.00,8,3,3
6,Daan,van der Berg,9.25,4,4,4
7,Noah,Jansen,11.80,6,5,4
8,Sam,Hendriks,13.50,9,6,4
9,Ricardo,Silva,15.25,7,1,5
10,André,Santos,10.60,3,2,5
11,Pedro,Gomes,11.90,5,3,5
12,Jack,Wilson,14.80,10,4,6
13,Oliver,Thompson,9.75,4,5,6
14,Harry,Clark,12.30,7,6,6
15,Gianluigi,Buffon,2000000.00,0,1,1
16,Giorgio,Chiellini,1500000.00,2,1,1
17,Paulo,Dybala,8000000.00,15,1,1
18,Lorenzo,Insigne,10000000.00,12,2,1
19,Kalidou,Koulibaly,12000000.00,1,2,1
20,Dries,Mertens,6000000.00,9,2,1
21,Robert,Lewandowski,15000000.00,25,3,3
22,Thomas,Müller,10000000.00,10,3,3
23,Manuel,Neuer,5000000.00,0,3,3
24,Hakim,Ziyech,8000000.00,7,4,4
25,Donny,van de Beek,10000000.00,5,4,4
26,Dusan,Tadic,7000000.00,10,4,4
27,Rafa,Silva,7000000.00,8,5,5
28,Pizzi,Gomes,9000000.00,10,5,5
29,Haris,Seferovic,6000000.00,12,5,5
30,Bruno,Fernandes,15000000.00,20,6,6
31,Marcus,Rashford,12000000.00,18,6,6
32,Harry,Maguire,10000000.00,2,6,6

IDGIOCATORE,NOME,COGNOME,VALORE,GOLFATTI,IDSQUADRA,IDNAZIONE
1,Mario,Rossi,5000000.00,10,1,1
2,Luigi,Verdi,3000000.00,8,1,1
3,Lukas,Müller,10.50,5,1,3
4,Max,Schneider,8.75,2,2,3
5,Jonas,Fischer,12.00,8,3,3
6,Daan,van der Berg,9.25,4,4,4
7,Noah,Jansen,11.80,6,5,4
8,Sam,Hendriks,13.50,9,6,4
9,Ricardo,Silva,15.25,7,1,5
10,André,Santos,10.60,3,2,5
11,Pedro,Gomes,11.90,5,3,5
